[2025-10-19 14:13:56] Epoch 50/60 | Train Loss: 0.0031 | Train Acc: 0.9998 | Val Acc: 0.9905
[2025-10-19 14:14:05] Epoch 51/60 | Train Loss: 0.0027 | Train Acc: 1.0000 | Val Acc: 0.9905
[2025-10-19 14:14:15] Epoch 52/60 | Train Loss: 0.0024 | Train Acc: 1.0000 | Val Acc: 0.9906
[2025-10-19 14:14:25] Epoch 53/60 | Train Loss: 0.0022 | Train Acc: 1.0000 | Val Acc: 0.9908
[2025-10-19 14:14:34] Epoch 54/60 | Train Loss: 0.0024 | Train Acc: 1.0000 | Val Acc: 0.9906
[2025-10-19 14:14:44] Epoch 55/60 | Train Loss: 0.0024 | Train Acc: 1.0000 | Val Acc: 0.9908
[2025-10-19 14:14:54] Epoch 56/60 | Train Loss: 0.0023 | Train Acc: 1.0000 | Val Acc: 0.9910
[2025-10-19 14:15:03] Epoch 57/60 | Train Loss: 0.0020 | Train Acc: 1.0000 | Val Acc: 0.9908
[2025-10-19 14:15:13] Epoch 58/60 | Train Loss: 0.0022 | Train Acc: 1.0000 | Val Acc: 0.9906
[2025-10-19 14:15:23] Epoch 59/60 | Train Loss: 0.0019 | Train Acc: 1.0000 | Val Acc: 0.9908
[2025-10-19 14:15:33] Epoch 60/60 | Train Loss: 0.0020 | Train Acc: 1.0000 | Val Acc: 0.9914
[2025-10-20 04:05:24] Running experiment 'baseline_resnet20' (Baseline ResNet20 + SGD(momentum) + 기본 전처리)
[2025-10-20 04:05:24] Model: resnet20, optimizer: sgd, lr: 0.1, wd: 0.0005, epochs: 60, batch_size: 64
[2025-10-20 04:05:34] Epoch 1/60 | Train Loss: 0.8538 | Train Acc: 0.7280 | Val Acc: 0.8765
[2025-10-20 04:05:43] Epoch 2/60 | Train Loss: 0.1502 | Train Acc: 0.9580 | Val Acc: 0.9708
[2025-10-20 04:05:52] Epoch 3/60 | Train Loss: 0.1017 | Train Acc: 0.9731 | Val Acc: 0.9714
[2025-10-20 04:06:02] Epoch 4/60 | Train Loss: 0.0899 | Train Acc: 0.9767 | Val Acc: 0.9787
[2025-10-20 04:06:11] Epoch 5/60 | Train Loss: 0.0808 | Train Acc: 0.9787 | Val Acc: 0.9780
[2025-10-20 04:06:21] Epoch 6/60 | Train Loss: 0.0754 | Train Acc: 0.9794 | Val Acc: 0.9730
[2025-10-20 04:06:30] Epoch 7/60 | Train Loss: 0.0770 | Train Acc: 0.9796 | Val Acc: 0.9749
[2025-10-20 04:06:39] Epoch 8/60 | Train Loss: 0.0775 | Train Acc: 0.9801 | Val Acc: 0.9794
[2025-10-20 04:06:49] Epoch 9/60 | Train Loss: 0.0739 | Train Acc: 0.9805 | Val Acc: 0.9523
[2025-10-20 04:06:58] Epoch 10/60 | Train Loss: 0.0798 | Train Acc: 0.9781 | Val Acc: 0.9728
[2025-10-20 04:07:07] Epoch 11/60 | Train Loss: 0.0741 | Train Acc: 0.9808 | Val Acc: 0.9690
[2025-10-20 04:07:17] Epoch 12/60 | Train Loss: 0.0699 | Train Acc: 0.9815 | Val Acc: 0.9703
[2025-10-20 04:07:26] Epoch 13/60 | Train Loss: 0.0651 | Train Acc: 0.9838 | Val Acc: 0.9719
[2025-10-20 04:07:35] Epoch 14/60 | Train Loss: 0.0661 | Train Acc: 0.9828 | Val Acc: 0.8653
[2025-10-20 04:07:45] Epoch 15/60 | Train Loss: 0.0706 | Train Acc: 0.9816 | Val Acc: 0.9446
[2025-10-20 04:07:54] Epoch 16/60 | Train Loss: 0.0691 | Train Acc: 0.9821 | Val Acc: 0.9213
[2025-10-20 04:08:03] Epoch 17/60 | Train Loss: 0.0633 | Train Acc: 0.9837 | Val Acc: 0.9697
[2025-10-20 04:08:12] Epoch 18/60 | Train Loss: 0.0571 | Train Acc: 0.9859 | Val Acc: 0.9648
[2025-10-20 04:08:22] Epoch 19/60 | Train Loss: 0.0574 | Train Acc: 0.9861 | Val Acc: 0.9723
[2025-10-20 04:08:31] Epoch 20/60 | Train Loss: 0.0600 | Train Acc: 0.9843 | Val Acc: 0.9543
[2025-10-20 04:08:40] Epoch 21/60 | Train Loss: 0.0543 | Train Acc: 0.9871 | Val Acc: 0.9119
[2025-10-20 04:08:49] Epoch 22/60 | Train Loss: 0.0548 | Train Acc: 0.9869 | Val Acc: 0.9800
[2025-10-20 04:08:59] Epoch 23/60 | Train Loss: 0.0557 | Train Acc: 0.9870 | Val Acc: 0.9747
[2025-10-20 04:09:08] Epoch 24/60 | Train Loss: 0.0519 | Train Acc: 0.9870 | Val Acc: 0.9818
[2025-10-20 04:09:17] Epoch 25/60 | Train Loss: 0.0494 | Train Acc: 0.9880 | Val Acc: 0.9892
[2025-10-20 04:09:27] Epoch 26/60 | Train Loss: 0.0488 | Train Acc: 0.9884 | Val Acc: 0.9626
[2025-10-20 04:09:36] Epoch 27/60 | Train Loss: 0.0464 | Train Acc: 0.9892 | Val Acc: 0.9815
[2025-10-20 04:09:45] Epoch 28/60 | Train Loss: 0.0488 | Train Acc: 0.9880 | Val Acc: 0.9844
[2025-10-20 04:09:55] Epoch 29/60 | Train Loss: 0.0465 | Train Acc: 0.9885 | Val Acc: 0.9818
[2025-10-20 04:10:04] Epoch 30/60 | Train Loss: 0.0392 | Train Acc: 0.9916 | Val Acc: 0.9791
[2025-10-20 04:10:13] Epoch 31/60 | Train Loss: 0.0447 | Train Acc: 0.9887 | Val Acc: 0.9517
[2025-10-20 04:10:22] Epoch 32/60 | Train Loss: 0.0405 | Train Acc: 0.9904 | Val Acc: 0.9840
[2025-10-20 04:10:32] Epoch 33/60 | Train Loss: 0.0359 | Train Acc: 0.9917 | Val Acc: 0.9822
[2025-10-20 04:10:41] Epoch 34/60 | Train Loss: 0.0391 | Train Acc: 0.9912 | Val Acc: 0.9479
[2025-10-20 04:10:50] Epoch 35/60 | Train Loss: 0.0349 | Train Acc: 0.9920 | Val Acc: 0.9835
[2025-10-20 04:11:00] Epoch 36/60 | Train Loss: 0.0323 | Train Acc: 0.9928 | Val Acc: 0.9870
[2025-10-20 04:11:09] Epoch 37/60 | Train Loss: 0.0276 | Train Acc: 0.9947 | Val Acc: 0.9848
[2025-10-20 04:11:18] Epoch 38/60 | Train Loss: 0.0251 | Train Acc: 0.9949 | Val Acc: 0.9835
[2025-10-20 04:11:27] Epoch 39/60 | Train Loss: 0.0256 | Train Acc: 0.9944 | Val Acc: 0.9842
[2025-10-20 04:11:37] Epoch 40/60 | Train Loss: 0.0201 | Train Acc: 0.9966 | Val Acc: 0.9894
[2025-10-20 04:11:46] Epoch 41/60 | Train Loss: 0.0158 | Train Acc: 0.9975 | Val Acc: 0.9886
[2025-10-20 04:11:55] Epoch 42/60 | Train Loss: 0.0137 | Train Acc: 0.9976 | Val Acc: 0.9849
[2025-10-20 04:12:05] Epoch 43/60 | Train Loss: 0.0116 | Train Acc: 0.9986 | Val Acc: 0.9899
[2025-10-20 04:12:14] Epoch 44/60 | Train Loss: 0.0092 | Train Acc: 0.9989 | Val Acc: 0.9916
[2025-10-20 04:12:24] Epoch 45/60 | Train Loss: 0.0089 | Train Acc: 0.9989 | Val Acc: 0.9903
[2025-10-20 04:12:33] Epoch 46/60 | Train Loss: 0.0071 | Train Acc: 0.9992 | Val Acc: 0.9914
[2025-10-20 04:12:42] Epoch 47/60 | Train Loss: 0.0070 | Train Acc: 0.9993 | Val Acc: 0.9899
[2025-10-20 04:12:52] Epoch 48/60 | Train Loss: 0.0047 | Train Acc: 0.9995 | Val Acc: 0.9908
[2025-10-20 04:13:01] Epoch 49/60 | Train Loss: 0.0045 | Train Acc: 0.9996 | Val Acc: 0.9906
[2025-10-20 04:13:10] Epoch 50/60 | Train Loss: 0.0042 | Train Acc: 0.9997 | Val Acc: 0.9908
[2025-10-20 04:13:20] Epoch 51/60 | Train Loss: 0.0035 | Train Acc: 0.9998 | Val Acc: 0.9908
[2025-10-20 04:13:29] Epoch 52/60 | Train Loss: 0.0033 | Train Acc: 0.9998 | Val Acc: 0.9914
[2025-10-20 04:13:38] Epoch 53/60 | Train Loss: 0.0031 | Train Acc: 0.9998 | Val Acc: 0.9914
[2025-10-20 04:13:47] Epoch 54/60 | Train Loss: 0.0034 | Train Acc: 0.9998 | Val Acc: 0.9912
[2025-10-20 04:13:57] Epoch 55/60 | Train Loss: 0.0034 | Train Acc: 0.9997 | Val Acc: 0.9916
[2025-10-20 04:14:06] Epoch 56/60 | Train Loss: 0.0029 | Train Acc: 0.9999 | Val Acc: 0.9912
[2025-10-20 04:14:16] Epoch 57/60 | Train Loss: 0.0028 | Train Acc: 0.9999 | Val Acc: 0.9912
[2025-10-20 04:14:25] Epoch 58/60 | Train Loss: 0.0030 | Train Acc: 1.0000 | Val Acc: 0.9917
[2025-10-20 04:14:34] Epoch 59/60 | Train Loss: 0.0027 | Train Acc: 1.0000 | Val Acc: 0.9912
[2025-10-20 04:14:43] Epoch 60/60 | Train Loss: 0.0028 | Train Acc: 1.0000 | Val Acc: 0.9914
