[2025-10-19 14:37:59] Running experiment 'superres_tta_resnet20' (고해상도 학습 + 다중 스케일 TTA)
[2025-10-19 14:37:59] Hard example sampler requested but no matching samples found; falling back to shuffle.
[2025-10-19 14:37:59] Model: resnet20, optimizer: adamw, lr: 0.0007, wd: 0.0003, epochs: 60, batch_size: 64
[2025-10-19 14:55:58] Epoch 50/60 | Train Loss: 0.0294 | Train Acc: 0.9921 | Val Acc: 0.9860
[2025-10-19 14:56:20] Epoch 51/60 | Train Loss: 0.0284 | Train Acc: 0.9930 | Val Acc: 0.9868
[2025-10-19 14:56:42] Epoch 52/60 | Train Loss: 0.0293 | Train Acc: 0.9925 | Val Acc: 0.9870
[2025-10-19 14:57:03] Epoch 53/60 | Train Loss: 0.0281 | Train Acc: 0.9923 | Val Acc: 0.9855
[2025-10-19 14:57:25] Epoch 54/60 | Train Loss: 0.0267 | Train Acc: 0.9936 | Val Acc: 0.9864
[2025-10-19 14:57:47] Epoch 55/60 | Train Loss: 0.0273 | Train Acc: 0.9932 | Val Acc: 0.9860
[2025-10-19 14:58:08] Epoch 56/60 | Train Loss: 0.0265 | Train Acc: 0.9931 | Val Acc: 0.9859
[2025-10-19 14:58:30] Epoch 57/60 | Train Loss: 0.0267 | Train Acc: 0.9931 | Val Acc: 0.9862
[2025-10-19 14:58:52] Epoch 58/60 | Train Loss: 0.0268 | Train Acc: 0.9930 | Val Acc: 0.9866
[2025-10-19 14:59:13] Epoch 59/60 | Train Loss: 0.0256 | Train Acc: 0.9938 | Val Acc: 0.9860
[2025-10-19 14:59:35] Epoch 60/60 | Train Loss: 0.0260 | Train Acc: 0.9937 | Val Acc: 0.9862
[2025-10-20 04:15:47] Running experiment 'superres_tta_resnet20' (고해상도 학습 + 다중 스케일 TTA)
[2025-10-20 04:15:47] Using WeightedRandomSampler with weight=3.0 (matched 6895 samples)
[2025-10-20 04:15:47] Model: resnet20, optimizer: adamw, lr: 0.0007, wd: 0.0003, epochs: 60, batch_size: 64
[2025-10-20 04:16:09] Epoch 1/60 | Train Loss: 1.3657 | Train Acc: 0.5596 | Val Acc: 0.6657
[2025-10-20 04:16:31] Epoch 2/60 | Train Loss: 0.5944 | Train Acc: 0.8290 | Val Acc: 0.9042
[2025-10-20 04:16:52] Epoch 3/60 | Train Loss: 0.3533 | Train Acc: 0.9013 | Val Acc: 0.9449
[2025-10-20 04:17:14] Epoch 4/60 | Train Loss: 0.2819 | Train Acc: 0.9196 | Val Acc: 0.9418
[2025-10-20 04:17:36] Epoch 5/60 | Train Loss: 0.2408 | Train Acc: 0.9320 | Val Acc: 0.9409
[2025-10-20 04:17:57] Epoch 6/60 | Train Loss: 0.2045 | Train Acc: 0.9426 | Val Acc: 0.9477
[2025-10-20 04:18:19] Epoch 7/60 | Train Loss: 0.2016 | Train Acc: 0.9420 | Val Acc: 0.9637
[2025-10-20 04:18:41] Epoch 8/60 | Train Loss: 0.1752 | Train Acc: 0.9485 | Val Acc: 0.9664
[2025-10-20 04:19:02] Epoch 9/60 | Train Loss: 0.1737 | Train Acc: 0.9491 | Val Acc: 0.9688
[2025-10-20 04:19:24] Epoch 10/60 | Train Loss: 0.1623 | Train Acc: 0.9527 | Val Acc: 0.9648
